Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.0712,108,0.0715,120,0.0483,66
0.0573,87,0.0684,115,0.0573,79
0.0602,89,0.0623,104,0.0407,62
0.0669,97,0.0502,85,0.0454,71
0.0791,116,0.0695,116,0.0552,72
0.062,91,0.0774,120,0.0566,82
0.0959,133,0.0828,126,0.0621,78
0.0948,132,0.0752,114,0.0492,74
0.0858,126,0.0678,113,0.0457,61
0.0859,119,0.0787,131,0.0611,91
0.0759,112,0.072,118,0.0566,82
0.0764,113,0.0744,121,0.0518,83
0.0815,122,0.0718,114,0.053,80
0.0688,102,0.0682,117,0.0541,75
0.0745,107,0.0675,112,0.0513,72
0.0719,103,0.07,116,0.0462,69
0.0661,97,0.0678,115,0.0452,72
0.0564,86,0.0633,110,0.0502,74
0.0781,116,0.0715,123,0.053,72
0.0756,108,0.065,110,0.0563,75
0.07,99,0.0704,111,0.0557,84
0.0769,113,0.0688,113,0.0548,83
0.0681,97,0.0652,111,0.0478,73
0.0687,103,0.0749,123,0.0554,75
0.0621,89,0.069,111,0.0426,66
0.0701,98,0.0677,111,0.058,75
0.0808,120,0.0701,117,0.06,78
0.0619,94,0.0683,111,0.0496,71
0.073,107,0.0714,106,0.0567,78
0.0757,107,0.0729,120,0.0549,74
0.0713,103,0.0701,111,0.0582,82
0.0817,118,0.0788,129,0.0596,83
0.0587,85,0.0595,98,0.0439,62
0.0777,110,0.0684,117,0.0621,92
0.0729,108,0.0764,128,0.0484,64
0.0731,107,0.076,135,0.0558,77
0.0788,115,0.0781,130,0.0704,93
0.0609,89,0.0611,101,0.0492,75
0.0629,95,0.0647,109,0.053,74
0.0583,87,0.0645,106,0.0507,77
0.0682,98,0.0738,126,0.0536,84
0.0766,112,0.076,127,0.0566,86
0.0737,102,0.0646,107,0.0486,72
0.0492,74,0.0568,98,0.0507,78
0.0656,95,0.0688,115,0.0476,73
0.0549,84,0.0563,95,0.0489,72
0.0654,98,0.0638,106,0.055,76
0.0592,88,0.0628,107,0.042,71
0.0534,79,0.0654,112,0.0443,66
0.0622,90,0.0674,108,0.0528,74
0.0687,98,0.0678,115,0.0554,82
0.0694,103,0.0651,107,0.0525,76
0.0592,84,0.059,100,0.0542,83
0.0577,84,0.058,99,0.0403,67
0.0655,95,0.0634,102,0.0584,91
0.0487,72,0.0597,103,0.0522,76
0.0596,89,0.0618,104,0.0483,72
0.0737,103,0.0682,111,0.0525,75
0.0633,89,0.0719,118,0.0543,81
0.0798,112,0.0662,105,0.0591,88
0.0778,109,0.07,114,0.0564,85
0.0696,101,0.0619,105,0.0476,75
0.0603,88,0.0686,109,0.0514,68
0.0561,83,0.0623,107,0.0449,56
0.0587,86,0.0689,117,0.0441,65
0.0529,80,0.066,107,0.0411,60
0.0608,87,0.0633,102,0.0441,66
0.0502,73,0.0589,97,0.0449,64
0.055,80,0.0532,88,0.0391,59
0.0513,74,0.0592,90,0.0429,60
0.0606,87,0.061,98,0.0393,58
0.0479,68,0.0535,88,0.0394,54
0.0494,69,0.0562,95,0.038,57
0.0513,69,0.0518,83,0.0346,49
0.0593,84,0.0563,93,0.0371,54
0.0473,66,0.0498,82,0.0361,56
0.0538,77,0.0569,94,0.0411,60
0.0449,64,0.0532,89,0.0437,66
0.0413,58,0.0557,93,0.0441,61
0.0415,58,0.0523,87,0.0331,47
0.0467,64,0.0525,83,0.026,38
0.0439,64,0.0544,91,0.0457,66
0.0316,49,0.054,85,0.0305,43
0.0389,56,0.0483,82,0.0375,57
0.0392,55,0.0511,84,0.0451,62
0.0381,56,0.0421,68,0.0403,58
0.0396,57,0.0461,72,0.034,44
0.0405,59,0.0483,77,0.03,47
0.0362,50,0.0502,79,0.0337,47
0.0433,62,0.0406,69,0.035,48
0.032,44,0.042,70,0.035,46
0.0306,45,0.0431,70,0.0303,46
0.0331,46,0.0386,65,0.0337,48
0.0313,44,0.0494,74,0.0343,45
0.0381,53,0.043,71,0.0298,46
0.0377,52,0.0425,69,0.0313,40
0.036,52,0.0379,67,0.032,44
0.0257,38,0.0437,74,0.0291,39
0.0431,62,0.0476,76,0.0298,44
0.0381,54,0.0435,69,0.035,46
0.035,48,0.0385,60,0.0288,42
0.0331,48,0.0512,78,0.0357,53
0.0247,35,0.035,54,0.0343,45
0.039,55,0.0454,74,0.0343,52
0.0274,39,0.0448,79,0.0301,48
0.0307,43,0.0529,87,0.0408,54
0.042,58,0.0554,90,0.0355,59
0.0299,43,0.0467,78,0.0351,57
0.0368,51,0.0543,88,0.0423,67
0.0423,61,0.0426,68,0.0326,47
0.0349,46,0.0354,59,0.0273,39
0.0241,32,0.0344,57,0.0291,45
0.0366,52,0.0453,76,0.0269,41
0.0232,33,0.0326,51,0.0307,45
0.0265,38,0.0339,55,0.031,45
0.0242,35,0.0401,67,0.0235,34
0.0278,41,0.0343,58,0.0238,39
0.03,44,0.0409,69,0.0288,44
0.0339,49,0.0401,65,0.0249,41
0.0273,38,0.0395,66,0.0255,38
0.0223,32,0.0388,68,0.0264,43
0.02,28,0.0262,45,0.0303,41
0.026,37,0.0366,61,0.0204,34
0.0183,27,0.0292,47,0.0257,40
0.0163,24,0.031,51,0.0253,39
0.0212,30,0.0356,60,0.0291,45
0.0173,25,0.0281,51,0.0232,32
0.0208,29,0.0301,51,0.0224,37
0.0213,30,0.0324,55,0.0177,25
0.0179,26,0.0286,47,0.0164,25
0.0237,34,0.032,55,0.0214,30
0.0243,33,0.0301,51,0.0258,40
0.021,29,0.0252,43,0.0171,28
0.0151,23,0.0293,49,0.0161,28
0.0148,20,0.0226,39,0.0154,26
0.014,20,0.0254,40,0.0146,24
0.0135,19,0.0192,34,0.0196,28
0.0149,21,0.0218,33,0.013,18
0.0101,15,0.0195,33,0.0181,29
0.0086,11,0.0206,33,0.0209,31
0.0117,17,0.0211,35,0.0199,26
0.0083,13,0.0148,24,0.0117,19
0.0098,15,0.0197,34,0.0127,21
0.006,8,0.0167,25,0.0107,19
0.0078,11,0.0159,23,0.0144,24
0.0102,14,0.0146,25,0.0145,22
0.0071,10,0.0135,23,0.014,23
0.0029,5,0.0142,23,0.0099,17
0.0043,7,0.0096,17,0.0118,20
0.0032,5,0.0123,19,0.0089,16
0.0047,6,0.0101,15,0.0054,10
0.0055,9,0.0125,21,0.0163,17
0.004,6,0.0107,18,0.009,15
0.0046,7,0.0112,19,0.0126,19
0.0033,5,0.0093,16,0.0112,15
0.0051,7,0.0145,25,0.0079,13
0.0073,11,0.0158,28,0.0099,16
0.0039,5,0.0111,20,0.01,18
0.0093,15,0.0199,31,0.014,20
0.0059,9,0.0141,24,0.0132,23
0.0055,8,0.0118,21,0.0087,14
0.0036,5,0.011,19,0.0108,16
0.0042,5,0.0209,34,0.0081,11
0.0046,7,0.0096,16,0.0127,13
0.002,3,0.0073,14,0.0063,5
0.0009,1,0.0083,14,0.0074,8
0.0014,2,0.0112,18,0.0095,15
0.0019,3,0.0083,12,0.0044,7
0.002,3,0.0078,11,0.0052,9
0.0014,2,0.007,12,0.0103,12
0.0061,8,0.0055,9,0.01,13
0,0,0.0087,11,0.0102,12
0.0018,3,0.0042,7,0.0101,17
0.0007,1,0.0076,13,0.003,5
0.0007,1,0.0047,8,0.0056,10
0.0014,2,0.0051,9,0.0062,10
0.0013,2,0.0069,12,0.0053,9
0.0013,2,0.0038,7,0.008,7
0,0,0.0051,9,0.0034,6
0.0017,2,0.007,12,0.0049,8
0.0018,3,0.0057,8,0.0088,12
0.0039,4,0.0053,9,0.0046,8
0.0043,6,0.0134,18,0.0035,5
0.0024,4,0.0054,8,0.0041,7
0.0016,2,0.0065,12,0.0067,9
0.0007,1,0.0048,8,0.0056,5
0.002,3,0.0056,8,0.0024,4
0.0006,1,0.0063,10,0.0045,4
0.001,2,0.0094,9,0.0041,7
0.0008,1,0.0035,6,0.0018,3
0.0006,1,0.0092,16,0.0081,8
0.0011,2,0.0055,9,0.0057,7
0.0013,2,0.0044,7,0.0043,7
0.0033,4,0.0067,10,0.0034,6
